Leaf_ID,Pop_ID,Region,Lobes,Length,BLBW,MLBW,ALBW,LVL,UVL,UMLS,LMLS,LLA,ULA,MLA,LWR_1,LWR_2,LWR_3,LODR_1,LODR_2
QH-E-5-7b,E5,East,8,56,26,29,19,8,18,23,22,131,132,140,46.42857143,51.78571429,33.92857143,20.68965517,31.81818182
QH-E-5-8a,E5,East,8,40,16,24,13,10,12,19,14,136,133,169,40,60,32.5,20.83333333,71.42857143
QH-E-5-8b,E5,East,9,54,18,18,20,11,11,16,18,128,134,153,33.33333333,33.33333333,37.03703704,11.11111111,0
QH-E-5-9a,E5,East,9,37,17,20,10,12,8,14,16,127,127,142,45.94594595,54.05405405,27.02702703,30,25
QH-E-5-10a,E5,East,8,49,19,17,6,8,19,12,15,115,134,150,38.7755102,34.69387755,12.24489796,29.41176471,13.33333333
QH-E-5-10b,E5,East,8,72,17,20,11,16,23,14,20,103,148,146,23.61111111,27.77777778,15.27777778,30,0
QH-E-5-11a,E5,East,9,43,21,21,7,15,13,12,19,131,111,135,48.8372093,48.8372093,16.27906977,42.85714286,10.52631579
QH-E-5-11b,E5,East,9,47,12,16,6,13,9,10,14,109,133,138,25.53191489,34.04255319,12.76595745,37.5,14.28571429
QH-E-5-12a,E5,East,8,47,22,19,9,7,14,16,19,112,123,149,46.80851064,40.42553191,19.14893617,15.78947368,0
QH-E-5-12b,E5,East,8,46,19,17,8,8,14,13,17,115,131,143,41.30434783,36.95652174,17.39130435,23.52941176,0
QH-E-5-13a,E5,East,11,65,26,29,7,24,23,19,18,132,118,133,40,44.61538462,10.76923077,34.48275862,61.11111111
QH-E-5-13b,E5,East,10,59,25,33,9,10,34,23,21,147,125,154,42.37288136,55.93220339,15.25423729,30.3030303,57.14285714
QH-E-5-14a,E5,East,9,50,14,16,5,9,25,14,12,108,149,134,28,32,10,12.5,33.33333333
QH-E-5-14b,E5,East,9,48,14,17,5,6,21,14,13,107,143,142,29.16666667,35.41666667,10.41666667,17.64705882,30.76923077
QH-E-5-15a,E5,East,9,46,16,16,10,9,14,10,10,107,141,135,34.7826087,34.7826087,21.73913043,37.5,60
QH-E-5-15b,E5,East,11,58,14,15,11,21,11,8,10,135,158,170,24.13793103,25.86206897,18.96551724,46.66666667,50
QH-E-5-16a,E5,East,7,43,16,15,8,12,11,9,10,106,136,131,37.20930233,34.88372093,18.60465116,40,50
QH-E-5-16b,E5,East,9,58,13,15,9,11,25,11,9,102,138,144,22.4137931,25.86206897,15.51724138,26.66666667,66.66666667
QH-E-5-17a,E5,East,9,52,14,17,6,12,27,12,11,115,100,147,26.92307692,32.69230769,11.53846154,29.41176471,54.54545455
QH-E-5-17b,E5,East,7,63,19,16,6,18,11,9,12,102,127,136,30.15873016,25.3968254,9.523809524,43.75,33.33333333
QH-E-5-18b,E5,East,8,49,15,17,9,12,19,12,12,127,119,158,30.6122449,34.69387755,18.36734694,29.41176471,41.66666667
QH-E-5-19a,E5,East,10,47,16,23,16,12,12,10,17,132,130,139,34.04255319,48.93617021,34.04255319,56.52173913,35.29411765
QH-E-5-20a,E5,East,9,76,25,37,19,13,23,28,28,113,128,126,32.89473684,48.68421053,25,24.32432432,32.14285714
QH-E-5-20b,E5,East,9,76,30,42,19,18,29,35,25,125,139,138,39.47368421,55.26315789,25,16.66666667,68
QH-E-5-21a,E5,East,11,55,16,28,10,16,24,20,17,121,135,144,29.09090909,50.90909091,18.18181818,28.57142857,64.70588235
QH-E-5-21b,E5,East,8,52,18,21,15,8,21,14,13,125,144,139,34.61538462,40.38461538,28.84615385,33.33333333,61.53846154
QH-E-5-22b,E5,East,9,38,14,15,10,7,13,12,13,112,137,143,36.84210526,39.47368421,26.31578947,20,15.38461538
QH-E-5-23b,E5,East,8,50,15,13,9,8,8,11,12,107,137,142,30,26,18,15.38461538,8.333333333
QH-E-5-24a,E5,East,7,48,17,23,15,11,16,18,15,127,157,155,35.41666667,47.91666667,31.25,21.73913043,53.33333333
QH-E-5-25a,E5,East,6,61,21,26,13,12,15,16,18,112,132,136,34.42622951,42.62295082,21.31147541,38.46153846,44.44444444
QH-E-5-25b,E5,East,9,65,16,25,17,18,17,15,18,109,136,141,24.61538462,38.46153846,26.15384615,40,38.88888889
